arm,task,nodes_gold,expected,predicted,exact_match,semantic_match,semantic_bucket,semantic_reason,cycles,tool_calls,at_tool_cap,runtime_s,cost_usd,sources_used,sources_required
web,k-3-d-2/task_11,,115,[115],1,1,semantic_correct,Predicted list contains the same answer: 115.,11,10,0,66.8,0.0134,0,4
web,k-3-d-2/task_12,,the Cut Bank Penguin,[Cut Bank Penguin],0,1,semantic_correct,"Bracketed formatting only; refers to the same statue, the Cut Bank Penguin.",18,17,0,128.1,0.0226,0,4
web,k-3-d-2/task_3,,Princeton University,[No Turing Award alumni],0,0,semantic_incorrect,"Predicted there were no Turing Award alumni, but the correct final answer is Princeton University.",17,16,0,145.5,0.0331,0,4
web,k-3-d-2/task_7,,146,[320],0,0,semantic_incorrect,"Predicted 320, but expected answer is 146.",21,20,0,161.9,0.0408,0,4
web,k-3-d-3/task_4,,5455.3,[5455.3],1,1,semantic_correct,Predicted list contains the same numeric answer.,23,22,0,208.4,0.0369,0,9
web,k-3-d-4/task_6,,109,[114],0,0,semantic_incorrect,"Expected 109, but the prediction gives 114.",34,33,1,217.0,0.0535,0,6
web,k-3-d-4/task_8,,1819,[1819],1,1,semantic_correct,Bracketed list contains the same answer: 1819.,26,25,0,199.3,0.0513,0,6
web,k-4-d-2/task_14,,44912,[87830],0,0,semantic_incorrect,"Predicted 87830, but expected answer is 44912.",35,34,1,249.7,0.054,0,6
web,k-4-d-2/task_7,,-1675,[-1675],1,1,semantic_correct,Predicted list contains the same numeric answer: -1675.,27,26,0,204.7,0.0468,0,5
web,k-4-d-3/task_10,,1832,[1832],1,1,semantic_correct,Bracketed form denotes the same numeric answer.,35,34,1,195.8,0.0648,0,8
web,k-4-d-3/task_5,,Doug Burgum,[William McFarland],0,0,semantic_incorrect,William McFarland is a different person from Doug Burgum.,12,11,0,188.2,0.0344,0,6
web,k-4-d-3/task_6,,O. W. Wilson,[Orsemus Morrison],0,0,semantic_incorrect,Different person: O. W. Wilson is not Orsemus Morrison.,32,31,1,314.8,0.0762,0,10
web,k-4-d-4/task_1,,10/28,[Unable to determine],0,0,answer_unknown_blank,"Predicted answer is an explicit non-answer, not the date 10/28.",34,33,1,235.8,0.0533,0,6
web,k-4-d-5/task_5,,13,[30],0,0,semantic_incorrect,"Predicted 30, but the expected final answer is 13.",33,32,1,185.9,0.0587,0,10
web,k-5-d-2/task_6,,1735,[1735],1,1,semantic_correct,"Predicted value is the same answer, just wrapped in brackets.",28,27,0,159.1,0.0443,0,7
web,k-5-d-3/task_11,,Ulster County,[Baltimore County],0,0,semantic_incorrect,Baltimore County is a different county than Ulster County.,35,34,1,208.4,0.082,0,9
web,k-5-d-3/task_13,,71,[194],0,0,semantic_incorrect,"Predicted 194, but expected final answer is 71.",30,29,0,357.1,0.0958,0,7
web,k-5-d-3/task_14,,7,[2],0,0,semantic_incorrect,"Predicted answer is 2, but expected answer is 7.",19,18,0,108.7,0.0336,0,7
web,k-6-d-2/task_2,,1735,[1743],0,0,semantic_incorrect,"Predicted 1743, but the expected year is 1735.",34,33,1,212.1,0.0751,0,9
web,k-6-d-3/task_1,,1915,[1901],0,0,semantic_incorrect,Predicted year 1901 does not match expected 1915.,21,20,0,110.0,0.0316,0,10
ideal,k-3-d-2/task_11,,115,[115],1,1,semantic_correct,Predicted list contains the same answer: 115.,36,35,1,154.5,0.048,4,4
ideal,k-3-d-2/task_12,,the Cut Bank Penguin,[Cut Bank Penguin],0,1,semantic_correct,Same referent; brackets and omitted article do not change the answer.,15,14,0,69.0,0.0139,4,4
ideal,k-3-d-2/task_3,,Princeton University,[Princeton University],1,1,semantic_correct,Bracket formatting only; same answer.,13,12,0,112.8,0.0262,4,4
ideal,k-3-d-2/task_7,,146,[316],0,0,semantic_incorrect,"Predicted 316, but expected answer is 146.",17,16,0,102.4,0.035,2,4
ideal,k-3-d-3/task_4,,5455.3,[5455.3],1,1,semantic_correct,Predicted value matches the expected answer; list formatting does not change meaning.,18,17,0,101.0,0.015,9,9
ideal,k-3-d-4/task_6,,109,[110],0,0,semantic_incorrect,"Predicted numeric answer is 110, but expected is 109.",27,26,0,160.7,0.0303,4,6
ideal,k-3-d-4/task_8,,1819,[1819],1,1,semantic_correct,Predicted list contains the same answer: 1819.,20,19,0,123.7,0.0283,6,6
ideal,k-4-d-2/task_14,,44912,[35677],0,0,semantic_incorrect,"Predicted 35677, but expected 44912; substantive numeric answer is wrong.",14,13,0,66.1,0.0101,5,6
ideal,k-4-d-2/task_7,,-1675,[-1675],1,1,semantic_correct,"Predicted value is the same numeric answer, just wrapped in a single-item list.",12,11,0,63.4,0.0112,5,5
ideal,k-4-d-3/task_10,,1832,[1832],1,1,semantic_correct,"Predicted answer is the same value as expected, just wrapped in brackets.",21,20,0,139.5,0.0271,5,8
ideal,k-4-d-3/task_5,,Doug Burgum,[Doug Burgum],1,1,semantic_correct,Bracket formatting only; same person.,21,20,0,100.2,0.0215,5,6
ideal,k-4-d-3/task_6,,O. W. Wilson,[Orsemus Morrison],0,0,semantic_incorrect,"Predicted person is Orsemus Morrison, not O. W. Wilson.",22,21,0,174.2,0.0386,7,10
ideal,k-4-d-4/task_1,,10/28,[07/01],0,0,semantic_incorrect,"Expected 10/28, but prediction gives 07/01, a different date.",15,14,0,107.5,0.0255,5,6
ideal,k-4-d-5/task_5,,13,[4],0,0,semantic_incorrect,"Predicted 4, but expected 13; numeric answer is wrong.",35,34,1,240.1,0.0561,8,10
ideal,k-5-d-2/task_6,,1735,[1743],0,0,semantic_incorrect,"Predicted 1743, but expected 1735; different year.",37,36,1,282.0,0.0465,2,7
ideal,k-5-d-3/task_11,,Ulster County,[Montgomery County],0,0,semantic_incorrect,Montgomery County is a different county from Ulster County.,23,33,1,134.2,0.0323,7,9
ideal,k-5-d-3/task_13,,71,[32],0,0,semantic_incorrect,"Predicted 32, but the correct final answer is 71.",16,15,0,96.7,0.0272,5,7
ideal,k-5-d-3/task_14,,7,[2],0,0,semantic_incorrect,"Predicted answer is 2, but the expected answer is 7.",34,33,1,201.5,0.0391,4,7
ideal,k-6-d-2/task_2,,1735,[1735],1,1,semantic_correct,Bracketed list contains the same numeric answer.,30,29,0,337.0,0.0539,7,9
ideal,k-6-d-3/task_1,,1915,[1915],1,1,semantic_correct,Bracketed list contains the same answer: 1915.,18,17,0,122.7,0.0154,9,10
standard,k-3-d-2/task_11,,115,[114],0,0,semantic_incorrect,"Predicted 114, but expected 115.",34,33,1,142.4,0.051,4,4
standard,k-3-d-2/task_12,,the Cut Bank Penguin,[World's largest statue of a penguin],0,1,semantic_correct,Describes the same landmark: the Cut Bank Penguin is the world's largest penguin statue in Cut Bank.,14,13,0,56.9,0.0141,4,4
standard,k-3-d-2/task_3,,Princeton University,[Princeton University],1,1,semantic_correct,Bracket formatting only; same answer referent.,17,16,0,76.4,0.0225,4,4
standard,k-3-d-2/task_7,,146,[408],0,0,semantic_incorrect,"Predicted 408, but expected 146.",34,33,1,139.8,0.0547,0,4
standard,k-3-d-3/task_4,,5455.3,[5455.3],1,1,semantic_correct,Bracketed list contains the same numeric answer.,28,27,0,124.9,0.0272,9,9
standard,k-3-d-4/task_6,,109,[118],0,0,semantic_incorrect,"Predicted 118, but the expected final numeric answer is 109.",34,33,1,184.9,0.0729,0,6
standard,k-3-d-4/task_8,,1819,[1819],1,1,semantic_correct,"Predicted answer contains the same value, 1819.",24,23,0,139.6,0.0359,6,6
standard,k-4-d-2/task_14,,44912,[35677],0,0,semantic_incorrect,Predicted numeric answer 35677 does not match expected 44912.,21,20,0,71.7,0.0243,5,6
standard,k-4-d-2/task_7,,-1675,[ -1675 ],1,1,semantic_correct,"Predicted value is the same number, just wrapped in list formatting.",25,24,0,142.7,0.018,5,5
standard,k-4-d-3/task_10,,1832,[1832],1,1,semantic_correct,Bracketed list contains the same answer: 1832.,23,22,0,176.4,0.0361,5,8
standard,k-4-d-3/task_5,,Doug Burgum,[Deb Haaland],0,0,semantic_incorrect,Deb Haaland is a different person than Doug Burgum.,30,29,0,124.5,0.0403,6,6
standard,k-4-d-3/task_6,,O. W. Wilson,[John H. Kinzie],0,0,semantic_incorrect,John H. Kinzie is a different person from O. W. Wilson.,34,33,1,432.8,0.0886,6,10
standard,k-4-d-4/task_1,,10/28,[07/01],0,0,semantic_incorrect,Predicted date 07/01 does not match expected 10/28.,34,33,1,307.5,0.1014,4,6
standard,k-4-d-5/task_5,,13,[4],0,0,semantic_incorrect,"Predicted 4, but expected answer is 13.",33,32,1,261.5,0.065,8,10
standard,k-5-d-2/task_6,,1735,[1735],1,1,semantic_correct,"Predicted list contains the same answer value, 1735.",34,33,1,348.3,0.0692,2,7
standard,k-5-d-3/task_11,,Ulster County,[Ulster County],1,1,semantic_correct,Bracket formatting only; refers to the same county.,32,31,1,188.4,0.0457,9,9
standard,k-5-d-3/task_13,,71,[68],0,0,semantic_incorrect,Expected 71 but predicted 68; substantive numeric answer is wrong.,33,32,1,134.1,0.0474,2,7
standard,k-5-d-3/task_14,,7,[2],0,0,semantic_incorrect,"Predicted 2, but expected 7.",36,35,1,136.6,0.0407,1,7
standard,k-6-d-2/task_2,,1735,[1735],1,1,semantic_correct,Bracketed list contains the same answer value.,35,34,1,203.9,0.0484,4,9
standard,k-6-d-3/task_1,,1915,[1915],1,1,semantic_correct,Predicted list contains the same answer: 1915.,30,29,0,134.5,0.0338,9,10
naive,k-3-d-2/task_11,,115,[114],0,0,semantic_incorrect,"Predicted 114, but expected 115.",34,33,1,166.2,0.0523,4,4
naive,k-3-d-2/task_12,,the Cut Bank Penguin,[Cut Bank Penguin],0,1,semantic_correct,"Bracket formatting only; refers to the same statue, the Cut Bank Penguin.",14,13,0,47.3,0.0129,3,4
naive,k-3-d-2/task_3,,Princeton University,[Princeton University],1,1,semantic_correct,Bracket formatting only; same answer.,20,19,0,132.5,0.028,4,4
naive,k-3-d-2/task_7,,146,[316],0,0,semantic_incorrect,"Predicted 316, but expected answer is 146.",29,28,0,134.0,0.0726,0,4
naive,k-3-d-3/task_4,,5455.3,[5455.3],1,1,semantic_correct,Singleton list contains the same numeric answer.,29,28,0,102.8,0.0346,9,9
naive,k-3-d-4/task_6,,109,[109],1,1,semantic_correct,"Predicted list contains the same answer value, 109.",28,27,0,127.6,0.0309,3,6
naive,k-3-d-4/task_8,,1819,[1819],1,1,semantic_correct,Bracketed list contains the same answer value.,26,25,0,116.0,0.0371,6,6
naive,k-4-d-2/task_14,,44912,[35677],0,0,semantic_incorrect,Predicted numeric answer 35677 does not match expected 44912.,17,16,0,52.8,0.0199,5,6
naive,k-4-d-2/task_7,,-1675,[1675],1,0,semantic_incorrect,Predicted value is positive 1675; expected is negative -1675.,16,15,0,59.2,0.016,5,5
naive,k-4-d-3/task_10,,1832,[1832],1,1,semantic_correct,Bracketed list contains the same numeric answer.,23,22,0,150.2,0.039,5,8
naive,k-4-d-3/task_5,,Doug Burgum,[Alejandro Mayorkas],0,0,semantic_incorrect,Alejandro Mayorkas is a different person than Doug Burgum.,33,32,1,131.3,0.0426,4,6
naive,k-4-d-3/task_6,,O. W. Wilson,[Orsemus Morrison],0,0,semantic_incorrect,Predicted a different person; Orsemus Morrison is not O. W. Wilson.,20,19,0,131.7,0.0358,10,10
naive,k-4-d-4/task_1,,10/28,[07/01],0,0,semantic_incorrect,Predicted date 07/01 does not match expected date 10/28.,26,25,0,119.5,0.0395,5,6
naive,k-4-d-5/task_5,,13,[16],0,0,semantic_incorrect,"Predicted 16, but the correct answer is 13.",34,33,1,108.5,0.0687,5,10
naive,k-5-d-2/task_6,,1735,[1735],1,1,semantic_correct,Predicted list contains the same single answer: 1735.,35,34,1,233.5,0.06,3,7
naive,k-5-d-3/task_11,,Ulster County,[Baltimore County],0,0,semantic_incorrect,Baltimore County is a different county than Ulster County.,34,33,1,140.2,0.0601,7,9
naive,k-5-d-3/task_13,,71,[56],0,0,semantic_incorrect,"Predicted 56, but expected answer is 71.",35,34,1,94.0,0.0327,2,7
naive,k-5-d-3/task_14,,7,[6],0,0,semantic_incorrect,"Predicted 6, but expected answer is 7.",34,33,1,118.7,0.043,3,7
naive,k-6-d-2/task_2,,1735,[1735],1,1,semantic_correct,"Predicted list contains the same answer value, 1735.",35,34,1,171.8,0.0512,5,9
naive,k-6-d-3/task_1,,1915,[1915],1,1,semantic_correct,Bracketed list contains the same answer: 1915.,34,33,1,162.2,0.0504,8,10
